Neptune X	Neptune Y
-3.5338409339774175E12	2.8265555271143906E12
-3.5461304421740625E12	2.8114598022880757E12
-3.558354066833808E12	2.796311844084714E12
-3.570511589759932E12	2.7811119415688794E12
-3.582602793999909E12	2.765860384629493E12
-3.5946274638544355E12	2.7505574639748535E12
-3.6065853848847812E12	2.7352034711295073E12
-3.618476343918372E12	2.7197986984291084E12
-3.63030012905617E12	2.7043434390157856E12
-3.6420565296795215E12	2.6888379868340005E12
-3.653745336457882E12	2.673282636626816E12
-3.6653663413556475E12	2.6576776839335503E12
-3.6769193376368823E12	2.6420234250854233E12
-3.688404119872535E12	2.6263201572009697E12
-3.699820483947909E12	2.610568178183839E12
-3.7111682270684575E12	2.5947677867198584E12
-3.7224471477655903E12	2.5789192822740903E12
-3.7336570459016143E12	2.563022965087196E12
-3.7447977226760415E12	2.547079136171508E12
-3.7558689806324536E12	2.5310880973094087E12
-3.766870623662223E12	2.5150501510506123E12
-3.777802457009088E12	2.4989656007079185E12
-3.788664287274589E12	2.4828347503541772E12
